name(Linux),name(Mac/Windows),name_zh,url
programmusic,ProgramMusic,ProgramMusic,https://musicforprogramming.net/
opai,opai,OPAI助手,https://ai.qsy.zone/addons/wike_chatgpt/public/h5/?uniacid=3
